table_name,column_name,description,data_type,notes
expected_position_updates,pre_nav_usd_m,Synthetic V1 field for `pre_nav_usd_m`.,float64,Generated by src.generate_dataset
expected_position_updates,post_nav_estimate_usd_m,Synthetic V1 field for `post_nav_estimate_usd_m`.,float64,Generated by src.generate_dataset
expected_position_updates,source_document_ids,Synthetic V1 field for `source_document_ids`.,object,Generated by src.generate_dataset
expected_position_updates,update_status,Synthetic V1 field for `update_status`.,object,Generated by src.generate_dataset
fund_aliases,alias,Synthetic V1 field for `alias`.,object,Generated by src.generate_dataset
fund_aliases,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
fund_aliases,canonical_fund_name,Synthetic V1 field for `canonical_fund_name`.,object,Generated by src.generate_dataset
fund_aliases,confidence_hint,Synthetic V1 field for `confidence_hint`.,float64,Generated by src.generate_dataset
fund_aliases,notes,Synthetic V1 field for `notes`.,object,Generated by src.generate_dataset
ground_truth_extractions,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
ground_truth_extractions,document_type,Synthetic V1 field for `document_type`.,object,Generated by src.generate_dataset
ground_truth_extractions,field_name,Synthetic V1 field for `field_name`.,object,Generated by src.generate_dataset
ground_truth_extractions,expected_value,Synthetic V1 field for `expected_value`.,object,Generated by src.generate_dataset
ground_truth_extractions,expected_unit,Synthetic V1 field for `expected_unit`.,object,Generated by src.generate_dataset
ground_truth_extractions,source_section_or_page,Synthetic V1 field for `source_section_or_page`.,object,Generated by src.generate_dataset
ground_truth_extractions,required_flag,Synthetic V1 field for `required_flag`.,object,Generated by src.generate_dataset
ground_truth_extractions,validation_rule_id,Synthetic V1 field for `validation_rule_id`.,object,Generated by src.generate_dataset
ground_truth_extractions,tolerance,Synthetic V1 field for `tolerance`.,float64,Generated by src.generate_dataset
newsletter_updates,update_id,Synthetic V1 field for `update_id`.,object,Generated by src.generate_dataset
newsletter_updates,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
newsletter_updates,fund_id,Synthetic V1 field for `fund_id`.,object,Generated by src.generate_dataset
newsletter_updates,raw_fund_name,Synthetic V1 field for `raw_fund_name`.,object,Generated by src.generate_dataset
newsletter_updates,mapped_fund_name,Synthetic V1 field for `mapped_fund_name`.,object,Generated by src.generate_dataset
newsletter_updates,period,Synthetic V1 field for `period`.,object,Generated by src.generate_dataset
newsletter_updates,market_themes,Synthetic V1 field for `market_themes`.,object,Generated by src.generate_dataset
newsletter_updates,new_investments,Synthetic V1 field for `new_investments`.,object,Generated by src.generate_dataset
newsletter_updates,valuation_commentary,Synthetic V1 field for `valuation_commentary`.,object,Generated by src.generate_dataset
newsletter_updates,risk_notes,Synthetic V1 field for `risk_notes`.,object,Generated by src.generate_dataset
newsletter_updates,expected_capital_activity,Synthetic V1 field for `expected_capital_activity`.,object,Generated by src.generate_dataset
newsletter_updates,extraction_confidence,Synthetic V1 field for `extraction_confidence`.,float64,Generated by src.generate_dataset
newsletter_updates,validation_status,Synthetic V1 field for `validation_status`.,object,Generated by src.generate_dataset
newsletter_updates,review_status,Synthetic V1 field for `review_status`.,object,Generated by src.generate_dataset
newsletter_updates,source,Synthetic V1 field for `source`.,object,Generated by src.generate_dataset
review_queue,review_id,Synthetic V1 field for `review_id`.,object,Generated by src.generate_dataset
review_queue,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
review_queue,related_event_id,Synthetic V1 field for `related_event_id`.,object,Generated by src.generate_dataset
review_queue,priority,Synthetic V1 field for `priority`.,object,Generated by src.generate_dataset
review_queue,exception_type,Synthetic V1 field for `exception_type`.,object,Generated by src.generate_dataset
review_queue,exception_detail,Synthetic V1 field for `exception_detail`.,object,Generated by src.generate_dataset
review_queue,assigned_to,Synthetic V1 field for `assigned_to`.,object,Generated by src.generate_dataset
review_queue,status,Synthetic V1 field for `status`.,object,Generated by src.generate_dataset
review_queue,created_date,Synthetic V1 field for `created_date`.,object,Generated by src.generate_dataset
review_queue,target_resolution_date,Synthetic V1 field for `target_resolution_date`.,object,Generated by src.generate_dataset
validation_results,result_id,Synthetic V1 field for `result_id`.,object,Generated by src.generate_dataset
validation_results,document_id,Synthetic V1 field for `document_id`.,object,Generated by src.generate_dataset
validation_results,rule_id,Synthetic V1 field for `rule_id`.,object,Generated by src.generate_dataset
validation_results,result,Synthetic V1 field for `result`.,object,Generated by src.generate_dataset
validation_results,variance_or_issue,Synthetic V1 field for `variance_or_issue`.,object,Generated by src.generate_dataset
validation_results,recommended_action,Synthetic V1 field for `recommended_action`.,object,Generated by src.generate_dataset
validation_rules,rule_id,Synthetic V1 field for `rule_id`.,object,Generated by src.generate_dataset
validation_rules,rule_name,Synthetic V1 field for `rule_name`.,object,Generated by src.generate_dataset
validation_rules,applies_to,Synthetic V1 field for `applies_to`.,object,Generated by src.generate_dataset
validation_rules,severity,Synthetic V1 field for `severity`.,object,Generated by src.generate_dataset
validation_rules,logic,Synthetic V1 field for `logic`.,object,Generated by src.generate_dataset
validation_rules,expected_use,Synthetic V1 field for `expected_use`.,object,Generated by src.generate_dataset
table_name_map,report_conceptual_table,Synthetic V1 field for `report_conceptual_table`.,object,Generated by src.generate_dataset
table_name_map,actual_csv_name,Synthetic V1 field for `actual_csv_name`.,object,Generated by src.generate_dataset
table_name_map,workbook_sheet,Synthetic V1 field for `workbook_sheet`.,object,Generated by src.generate_dataset
table_name_map,notes,Synthetic V1 field for `notes`.,object,Generated by src.generate_dataset
